,Tipo,Descripcion,Items,Precio,Valoracion,Imagen
29,HABITACIÓN PRIVADA EN: APARTAMENTO,"Habitación ind en Plaza España, piso reformado",1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
29€/noche",4.81,https://a0.muscache.com/im/pictures/6944c043-987b-4b8a-8928-f64d5f653825.jpg?aki_policy=large
30,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación en la Eixample,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
35€/noche",4.51,https://a0.muscache.com/im/pictures/c0e7a878-c824-4ecd-90ba-38100a745f89.jpg?aki_policy=large
31,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación matrimonio en Plaza España,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
41€/noche",4.68,https://a0.muscache.com/im/pictures/8918762/475089f0_original.jpg?aki_policy=large
32,HABITACIÓN PRIVADA EN: APARTAMENTO,Single Cozy Room (Near Plaza Espanya),"1 huésped · 1 dormitorio · 1 cama · 1,5 baños compartidos","Precio:
29€/noche",4.80,https://a0.muscache.com/im/pictures/02149d56-4195-40e9-81a9-1eda7be896d1.jpg?aki_policy=large
33,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación single,1 huésped · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio:
29€/noche",4.50,https://a0.muscache.com/im/pictures/1d17d024-b3f1-435b-a3f2-016275cd3175.jpg?aki_policy=large
34,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación Sabrosona,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio anterior:
44€
Precio con descuento:
38€/noche",4.87,https://a0.muscache.com/im/pictures/e64720fa-4dd5-4f1f-a794-5b391d217279.jpg?aki_policy=large
35,HABITACIÓN PRIVADA EN: APARTAMENTO,Amazing quiet Double room,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
23€/noche",4.42,https://a0.muscache.com/im/pictures/0013c9d5-f115-45b2-8e02-a5cdb9b6a196.jpg?aki_policy=large
36,HABITACIÓN PRIVADA EN: APARTAMENTO,Luminosa habitación con balcón y AC,2 huéspedes · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio:
34€/noche",none,https://a0.muscache.com/im/pictures/ee8864fa-3091-4dda-b0f7-7c2e8c7efc23.jpg?aki_policy=large
37,HABITACIÓN PRIVADA EN: APARTAMENTO,"Habitación doble, céntrica y confortable",2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
30€/noche",4.49,https://a0.muscache.com/im/pictures/67bb71bb-f3fd-4b7d-860b-b46e0a36f85c.jpg?aki_policy=large
38,HABITACIÓN PRIVADA EN: APARTAMENTO,Double room in Poble sec,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
27€/noche",4.42,https://a0.muscache.com/im/pictures/368fc1cb-a983-44d4-9cf9-e6a3a730ac89.jpg?aki_policy=large
39,HABITACIÓN PRIVADA EN: APARTAMENTO,Centrica habitación exterior con balcón,4 huéspedes · 1 dormitorio · 2 camas · 2 baños compartidos,"Precio:
41€/noche",4.35,https://a0.muscache.com/im/pictures/ea5df290-20c2-4a51-a797-41456db2c360.jpg?aki_policy=large
40,HABITACIÓN PRIVADA EN: APARTAMENTO,Cómoda habitación en el centro de Barcelona.,1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
29€/noche",4.49,https://a0.muscache.com/im/pictures/e75b93d8-8ec0-4810-a14b-2011964c744a.jpg?aki_policy=large
